Ticker,Nome,SETOR ECONÔMICO,SUBSETOR,SEGMENTO
AALR,ALLIAR,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
ABCB,ABC BRASIL  ,Financeiro,Intermediários Financeiros,Bancos
ABEV,AMBEV S/A,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
ADHM,ADVANCED-DH,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
AESL,AES SUL     ,Utilidade Pública,Energia Elétrica,Energia Elétrica
AFLT,AFLUENTE T  ,Utilidade Pública,Energia Elétrica,Energia Elétrica
AGRO,BRASILAGRO  ,Consumo não Cíclico,Agropecuária,Agricultura
AGRU,GRUAIRPORT,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
AHEB,SPTURIS     ,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
ALEF,ALEF S/A    ,Outros,Outros,Outros
ALGT,ALGAR TELEC,Comunicações,Telecomunicações,Telecomunicações
ALPA,ALPARGATAS  ,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALPK,ESTAPAR,Bens Industriais,Serviços Diversos,Serviços Diversos
ALSO,ALIANSCSONAE,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ALUP,ALUPAR,Utilidade Pública,Energia Elétrica,Energia Elétrica
AMAR,LOJAS MARISA,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
ANHB,AUTOBAN     ,Bens Industriais,Transporte,Exploração de Rodovias
ANIM,ANIMA,Consumo Cíclico,Diversos,Serviços Educacionais
APCS,TRUESEC,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
APER,ALPER S.A.,Financeiro,Previdência e Seguros,Corretoras de Seguros
APTI,ALIPERTI    ,Consumo não Cíclico,Agropecuária,Agricultura
ARZZ,AREZZO CO   ,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
ASCP,ECOPISTAS   ,Bens Industriais,Transporte,Exploração de Rodovias
ATMP,ATMASA,Bens Industriais,Serviços Diversos,Serviços Diversos
ATOM,ATOMPAR,Outros,Outros,Outros
AZEV,AZEVEDO     ,Bens Industriais,Construção e Engenharia,Construção Pesada
AZUL,AZUL,Bens Industriais,Transporte,Transporte Aéreo
B3SA,B3 ,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BAHI,BAHEMA      ,Consumo Cíclico,Diversos,Serviços Educacionais
BALM,BAUMER      ,Saúde,Equipamentos,Equipamentos
BAUH,EXCELSIOR   ,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
